reporterISO,partnerISO,primaryValue
ARE,CHE,2931021395.8744006
ARE,CHL,10345307.841365302
ARE,CHN,2951822829.4312115
ARE,CIV,20669009.244227752
ARE,CMR,63912417.34641898
ARE,COD,40266863.25266549
ARE,COG,55971309.85122934
ARE,COL,6359194.460838081
ARE,COM,34853042.061659425
ARE,CPV,131291.73840685748
ARE,CRI,778547.9337083137
ARE,CUB,781543.1547590558
ARE,CYM,13968.193808696358
ARE,CYP,25917131.19745546
ARE,CZE,23299561.30316742
ARE,DEU,442020054.1400355
ARE,DJI,153543898.6924551
ARE,DMA,30356.701284695908
ARE,DNK,78943640.76797956
ARE,DOM,25807236.35806683
ARE,DZA,201579551.7274935
ARE,ECU,10058624.671421597
ARE,EGY,484194580.876539
ARE,ERI,48039297.43063168
ARE,ESP,110985624.80652247
ARE,EST,1729981.8566204512
ARE,ETH,320103717.6804607
ARE,FIN,53865751.6769124
ARE,FJI,806629.5401457447
ARE,FRA,644472030.2442005
ARE,FSM,2755.1789829163718
ARE,GAB,22892731.788731173
ARE,GBR,980773721.1207706
ARE,GEO,105631374.63931823
ARE,GHA,95240158.44480304
ARE,GIB,5638.336195364117
ARE,GIN,29505294.615505785
ARE,GMB,12654197.561521837
ARE,GNB,3226758.202650804
ARE,GNQ,12721583.735717002
ARE,GRC,37495007.97703158
ARE,GRD,31395.525771588196
ARE,GRL,8655.837393838063
ARE,GTM,4629551.448131052
ARE,GUY,596726.6769245145
ARE,HKG,1538376765.6432226
ARE,HND,9691291.345286269
ARE,HRV,7116244.041284028
ARE,HTI,2883371.3936298112
ARE,HUN,19690080.55805505
ARE,IDN,323222520.7162509
ARE,IND,20494733288.114685
ARE,IRL,96270341.93646061
ARE,IRN,10391140546.119549
ARE,IRQ,3040140461.0750923
ARE,ISL,775278.8525083673
ARE,ISR,638564.9483871157
ARE,ITA,395994766.7864842
ARE,JAM,650460.2927371848
ARE,JOR,268568224.8786344
ARE,JPN,19456030385.84525
ARE,KAZ,227225020.95103413
ARE,KEN,970057379.1942078
ARE,KGZ,7628432.808857635
ARE,KHM,4712834.772972773
ARE,KIR,260.5981565068915
ARE,KNA,3921.571240666046
ARE,KOR,8070011722.14193
ARE,KWT,941278040.7541689
ARE,LAO,3836.694487401715
ARE,LBN,258656943.59848112
ARE,LBR,16292912.380237056
ARE,LBY,407301687.130157
ARE,LCA,338438.0964459016
ARE,LKA,222557147.64880425
ARE,LSO,259466.7586692728
ARE,LTU,10942876.654826112
ARE,LUX,4495550.94771572
ARE,LVA,4786377.827277776
ARE,MAC,2153482.3742284495
ARE,MAR,129481192.59699795
ARE,MDA,1251931.4475492483
ARE,MDG,48092482.41173155
ARE,MDV,136301273.79595804
ARE,MEX,47475865.649474
ARE,MHL,3367.219945908384
ARE,MKD,752813.6999783495
ARE,MLI,28935483.15276095
ARE,MLT,11748896.143307768
ARE,MMR,21273571.10643798
ARE,MNE,174655.13902967726
ARE,MNG,10766594.269292444
ARE,MOZ,47015516.02205622
ARE,MRT,137125646.55613387
ARE,MUS,25114108.256223813
ARE,MWI,66077861.266212635
ARE,MYS,1562843759.6074667
ARE,NAM,36096319.98139086
ARE,NCL,364096.0737178549
ARE,NER,26097845.740948647
ARE,NGA,1196416075.7235658
ARE,NIC,505990.775286405
ARE,NLD,599369585.84515
ARE,NOR,478560556.81810045
ARE,NPL,128437823.88830784
ARE,NZL,422734512.6859572
ARE,OMN,3718122801.6335177
ARE,PAK,3479800450.882104
ARE,PAN,29124339.8966708
ARE,PER,7104044.851419265
ARE,PHL,937308906.0397927
ARE,PLW,54167.28297388028
ARE,PNG,47483078.847302206
ARE,POL,46932756.54592606
ARE,PRT,19907589.83718796
ARE,PRY,1494522.470371404
ARE,PSE,4309299.449330343
ARE,PYF,58606.73502938572
ARE,QAT,1177735524.573634
ARE,ROU,32234016.586090174
ARE,RUS,246888585.4808897
ARE,RWA,109558484.08813477
ARE,SAU,2473967532.122774
ARE,SDN,922480187.9419266
ARE,SEN,81434310.63274252
ARE,SGP,4369347479.259438
ARE,SHN,11055.197112679121
ARE,SLB,10815792.946702186
ARE,SLE,13458122.981356552
ARE,SLV,325153.558360764
ARE,SOM,191152945.21849367
ARE,SRB,8225741.687261571
ARE,STP,898128.0063639632
ARE,SUR,303003.3781573131
ARE,SVK,1333172.502435103
ARE,SVN,3230435.0901262006
ARE,SWE,27558505.039166123
ARE,SWZ,2292394.7235208717
ARE,SYC,1130115779.6244
ARE,SYR,150216994.54124764
ARE,TCD,16835158.79116003
ARE,TGO,14429782.769331725
ARE,THA,5739051906.314146
ARE,TJK,36890658.306704514
ARE,TKM,114427216.2376658
ARE,TON,24776.05475756614
ARE,TTO,2134445.446810749
ARE,TUN,64099601.753049664
ARE,TUR,463122432.25209177
ARE,TZA,445719227.8325146
ARE,UGA,259298152.3251125
ARE,UKR,75728112.1576454
ARE,URY,2289562.3550987584
ARE,USA,793259810.3350161
ARE,UZB,11123146.921563933
ARE,VCT,2218.7313783004042
ARE,VEN,15050327.985141043
ARE,VGB,240136.2279738389
ARE,VNM,148091281.4535286
ARE,VUT,165377.71203810495
ARE,WLF,13103.511884815985
ARE,WSM,56016.00475591899
ARE,YEM,716987053.9981681
